contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type,Ticker
NVDA250314C00050000,2025-03-06 16:20:15+00:00,50.0,62.83,62.35,63.1,-1.8099976,-2.80012,142.0,148,2.43750390625,True,REGULAR,USD,Call,NVDA
NVDA250314C00055000,2025-03-03 16:48:26+00:00,55.0,64.07,57.05,58.35,0.0,0.0,10.0,90,1.9062504687500001,True,REGULAR,USD,Call,NVDA
NVDA250314C00060000,2025-03-07 20:53:52+00:00,60.0,52.0,52.05,53.35,-2.3499985,-4.3238244,39.0,29,1.6875015625,True,REGULAR,USD,Call,NVDA
NVDA250314C00065000,2025-03-07 20:32:00+00:00,65.0,47.5,47.1,48.3,1.7000008,3.711792,185.0,299,1.5000025,True,REGULAR,USD,Call,NVDA
NVDA250314C00070000,2025-03-07 20:00:45+00:00,70.0,41.85,42.3,43.6,0.6800003,1.6516888,112.0,128,1.9746095019531251,True,REGULAR,USD,Call,NVDA
NVDA250314C00075000,2025-03-07 20:22:12+00:00,75.0,37.66,37.4,38.2,1.6599998,4.6111107,259.0,142,1.50390873046875,True,REGULAR,USD,Call,NVDA
NVDA250314C00080000,2025-03-07 20:58:09+00:00,80.0,32.92,32.4,33.2,2.0299988,6.571702,247.0,827,1.2890660546875,True,REGULAR,USD,Call,NVDA
NVDA250314C00085000,2025-03-07 20:37:01+00:00,85.0,27.35,27.45,28.3,1.3099995,5.0307198,270.0,423,1.185550947265625,True,REGULAR,USD,Call,NVDA
NVDA250314C00090000,2025-03-07 20:23:53+00:00,90.0,22.1,22.5,23.35,0.25,1.1441647,983.0,1600,1.0253954980468751,True,REGULAR,USD,Call,NVDA
NVDA250314C00095000,2025-03-07 20:48:30+00:00,95.0,18.15,17.6,18.5,1.6499996,9.999998,2012.0,1144,0.8964854101562498,True,REGULAR,USD,Call,NVDA
NVDA250314C00100000,2025-03-07 20:59:14+00:00,100.0,13.4,13.15,13.85,1.5099993,12.699741,3773.0,3336,0.8535170898437501,True,REGULAR,USD,Call,NVDA
NVDA250314C00105000,2025-03-07 20:58:25+00:00,105.0,9.1,8.95,9.15,1.1000004,13.750005,5422.0,1952,0.7387721435546875,True,REGULAR,USD,Call,NVDA
NVDA250314C00107000,2025-03-07 20:59:15+00:00,107.0,7.58,7.45,7.6,0.8800001,13.134331,4663.0,1763,0.7231472998046875,True,REGULAR,USD,Call,NVDA
NVDA250314C00108000,2025-03-07 20:59:48+00:00,108.0,6.77,6.7,6.85,0.6999998,11.532122,10219.0,1175,0.70898728515625,True,REGULAR,USD,Call,NVDA
